iteration,actor_loss,critic_loss,entropy,mean_return,mean_advantage,buffer_steps,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_return,eval_avg_episode_length
1,-0.019599566236138344,80.5818862915039,1.419934868812561,-0.05347898602485657,1.597218179938409e-08,50,,,,,
2,-0.015942158177495003,424.9055480957031,1.4200586080551147,-18.92815399169922,-7.03334777085729e-08,50,,,,,
3,-0.011344070546329021,579.2361450195312,1.4191802740097046,-20.944284439086914,-2.5033950024067053e-08,50,,,,,
4,-0.012557268142700195,269.6939392089844,1.418013334274292,-15.288222312927246,-5.0067900048134106e-08,50,,,,,
5,-0.010482835583388805,1163.434814453125,1.4173132181167603,1.080816388130188,4.757195881666121e-08,50,,,,,
6,-0.0005137526895850897,272.2281188964844,1.4173102378845215,-18.35495376586914,3.099441414633475e-08,50,,,,,
7,-0.00756726274266839,3019.622802734375,1.4169262647628784,9.457411766052246,-1.2964010309701735e-08,50,,,,,
8,-0.00029856443870812654,275.06817626953125,1.416124701499939,-18.976016998291016,-6.437301891537572e-08,50,,,,,
9,-0.008197336457669735,1324.3756103515625,1.4151617288589478,3.966273307800293,3.2689420947917824e-08,50,,,,,
10,-0.0022577785421162844,598.760009765625,1.4143955707550049,-24.236534118652344,1.1324882365215672e-07,50,0.0,0.8,0.2,10.314651991426945,43.15
11,-0.006465311162173748,256.4828796386719,1.4142168760299683,-15.625399589538574,5.9604645663569045e-09,50,,,,,
12,-0.014010602608323097,539.10009765625,1.4137928485870361,-23.712020874023438,1.5497207073167374e-08,50,,,,,
13,-0.01036971528083086,159.70863342285156,1.4138462543487549,-7.423543930053711,4.2915345943583816e-08,50,,,,,
14,-0.01280134730041027,1191.4354248046875,1.4140783548355103,-36.448524475097656,-2.4300354084516584e-07,13,,,,,
15,-0.007549147587269545,1209.524658203125,1.4138069152832031,1.4130150079727173,3.5762788286319847e-08,50,,,,,
16,-0.023648418486118317,1065.7830810546875,1.4131184816360474,-35.67344665527344,-7.335956553333745e-08,13,,,,,
17,-0.001677546533755958,388.2364196777344,1.4134624004364014,-3.018265962600708,4.8279762410174953e-08,50,,,,,
18,-0.0063420869410037994,128.8536376953125,1.4144684076309204,-5.03017520904541,2.2649764730431343e-08,50,,,,,
19,-0.006340222433209419,1260.8509521484375,1.4149209260940552,-2.5667834281921387,2.4139881205087477e-08,50,,,,,
20,-0.011539511382579803,153.35723876953125,1.414831280708313,-7.648256301879883,-4.76837147544984e-09,50,0.0,0.0,1.0,-3.284843892604113,60.0
21,-0.0166988093405962,154.33084106445312,1.4143720865249634,-13.223588943481445,5.9604645663569045e-09,50,,,,,
22,-0.006941771600395441,288.23956298828125,1.4143589735031128,-21.078563690185547,-4.410743770222325e-08,50,,,,,
23,-0.00663961423560977,374.59881591796875,1.4144973754882812,-17.818326950073242,-6.67572024326546e-08,50,,,,,
24,-0.015301142819225788,1180.0057373046875,1.4149895906448364,-36.257198333740234,3.079573218656151e-07,12,,,,,
25,-0.0035749911330640316,235.95516967773438,1.4156564474105835,-12.01725959777832,-1.7881394143159923e-08,50,,,,,
26,-0.01093017403036356,958.0995483398438,1.4159291982650757,-35.92561340332031,-1.5130409281027823e-07,13,,,,,
27,-0.0077813053503632545,383.225341796875,1.4155656099319458,-4.914859771728516,3.516673885428645e-08,50,,,,,
28,-0.019757337868213654,150.10665893554688,1.4148141145706177,-9.198685646057129,3.099441414633475e-08,50,,,,,
29,-0.005202719941735268,937.4794921875,1.4142025709152222,-35.62836456298828,2.2466366544904304e-07,13,,,,,
30,-0.009575958363711834,896.2571411132812,1.414111614227295,-35.8060188293457,8.711447918585691e-08,13,0.0,0.0,1.0,4.785276436060667,60.0
31,-0.0012376854429021478,813.571044921875,1.4146288633346558,-36.314910888671875,2.5828680350059585e-07,12,,,,,
32,-0.005896558985114098,1520.970947265625,1.4158103466033936,5.080920219421387,4.792585883706124e-08,50,,,,,
33,-0.007449164520949125,1504.4722900390625,1.4166756868362427,2.366824150085449,4.280358467667611e-08,50,,,,,
34,-0.003762426320463419,1681.4432373046875,1.4164154529571533,6.894866466522217,-2.0936131051030316e-08,50,,,,,
35,-0.0038420772179961205,3049.4248046875,1.416260838508606,12.222289085388184,-1.3709068547029801e-08,50,,,,,
36,-0.002036185236647725,1346.2249755859375,1.4160822629928589,5.960415840148926,-2.2649764730431343e-08,50,,,,,
37,-0.002727837534621358,1400.387939453125,1.4152754545211792,4.531961441040039,2.1904707381281696e-08,50,,,,,
38,-0.0030219031032174826,948.9414672851562,1.4143072366714478,4.913619041442871,-2.071261384628542e-08,50,,,,,
39,-0.028420161455869675,1334.6378173828125,1.4135373830795288,-36.196266174316406,-3.301180413473048e-07,13,,,,,
40,-0.0011613827664405107,1360.196533203125,1.413130283355713,-36.759361267089844,9.628442398934567e-08,13,0.0,0.65,0.35,-1.9105449974536897,29.1
41,-0.0046897102147340775,208.85772705078125,1.4141335487365723,-16.96491050720215,-3.099441414633475e-08,50,,,,,
42,-0.017936818301677704,299.615478515625,1.4158084392547607,-17.916728973388672,-2.8610228852699038e-08,50,,,,,
43,-0.0004719805729109794,1357.4742431640625,1.4169209003448486,12.556038856506348,7.420778302957842e-08,50,,,,,
44,-0.008471036329865456,3211.523681640625,1.4182075262069702,18.801189422607422,1.7881393032936899e-09,50,,,,,
45,-0.013175386935472488,476.388916015625,1.4190939664840698,-3.6358349323272705,5.900859889607091e-08,50,,,,,
46,-0.01968667097389698,213.2471466064453,1.4197131395339966,-17.839435577392578,-4.76837147544984e-09,50,,,,,
47,-0.009918675757944584,1226.0355224609375,1.4206130504608154,6.798773765563965,-9.313225746154785e-10,50,,,,,
