iteration,actor_loss,critic_loss,entropy,mean_return,mean_advantage,buffer_steps,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_return,eval_avg_episode_length
1,-0.021751360967755318,3434.4306640625,1.420111060142517,-51.916221618652344,-2.6941299324789725e-07,50,,,,,
2,-0.012326517142355442,3489.82568359375,1.4213675260543823,-51.546669006347656,7.867813422990366e-08,50,,,,,
3,-0.006896562408655882,1228.60693359375,1.422410488128662,-22.402868270874023,-2.9802322831784522e-09,50,,,,,
4,-0.014047641307115555,3544.544921875,1.423507571220398,-56.28824234008789,-3.457069297496673e-08,50,,,,,
5,-0.007661333307623863,6678.45361328125,1.4249006509780884,4.541924476623535,1.9297003106544253e-08,50,,,,,
6,-0.00613148370757699,2188.039794921875,1.4260996580123901,-48.404541015625,1.0251999071897444e-07,50,,,,,
7,-0.005576601251959801,3135.75634765625,1.4267960786819458,-56.616764068603516,-1.4543533666255826e-07,50,,,,,
8,-0.01205360982567072,1572.2578125,1.4277366399765015,-41.00547409057617,-1.668930060816365e-08,50,,,,,
9,-0.0034978152252733707,1164.163330078125,1.4288138151168823,-34.40920639038086,-2.2649764730431343e-08,50,,,,,
10,-0.019317684695124626,1635.299072265625,1.4295729398727417,1.1381964683532715,-5.9604643443123e-10,50,0.0,0.0,1.0,-35.93423778116703,60.0
11,-0.0037334442604333162,1086.421875,1.4303314685821533,-24.3115234375,1.5497207073167374e-08,50,,,,,
12,-0.00743858003988862,444.4101257324219,1.4313336610794067,-24.600549697875977,6.953874986947994e-08,12,,,,,
13,-0.015284772031009197,385.3321533203125,1.4320347309112549,-24.301572799682617,4.12647551684131e-08,13,,,,,
14,-0.01750275120139122,929.5574340820312,1.4324151277542114,-36.26568603515625,-3.695488004495928e-08,50,,,,,
15,-0.0007419872563332319,1114.530517578125,1.4326661825180054,-23.660320281982422,-9.53674295089968e-09,50,,,,,
16,-0.011671588756144047,1054.6474609375,1.4330576658248901,-40.756744384765625,-1.4305114426349519e-08,50,,,,,
17,-0.017344502732157707,1917.6522216796875,1.4333813190460205,-27.639732360839844,-1.7881393032936899e-09,50,,,,,
18,0.001343134674243629,554.3856811523438,1.4344547986984253,-21.294212341308594,1.19209286886246e-09,50,,,,,
19,-0.00832256581634283,836.2427978515625,1.4359192848205566,-27.389484405517578,2.38418573772492e-09,50,,,,,
20,-0.009339112788438797,922.9637451171875,1.4372612237930298,-47.87484359741211,-1.907348590179936e-08,50,0.0,0.45,0.55,13.437293934822083,47.4
21,-0.010206613689661026,833.3799438476562,1.4381332397460938,-35.89342498779297,0.0,50,,,,,
22,-0.0007131028105504811,1092.005859375,1.4385207891464233,-48.06072235107422,-1.1563301427486294e-07,50,,,,,
23,-0.014552583917975426,1458.7010498046875,1.438795804977417,-24.845434188842773,2.4437904144747336e-08,50,,,,,
24,-0.007493168115615845,604.7586059570312,1.4390243291854858,-31.57915496826172,-3.33786012163273e-08,50,,,,,
25,-0.014487599954009056,3872.041015625,1.4399466514587402,7.723573684692383,-4.6044586810012333e-08,50,,,,,
26,-0.0010486316168680787,626.6890869140625,1.4412766695022583,-33.991111755371094,-7.1525572131747595e-09,50,,,,,
27,-0.008008027449250221,1399.3775634765625,1.4425684213638306,-54.35913848876953,1.9486133595592037e-08,39,,,,,
28,-0.006241298280656338,488.7790222167969,1.4437063932418823,-39.90434265136719,1.0728836485895954e-08,50,,,,,
29,-0.014740287326276302,806.05908203125,1.4440728425979614,-17.67093849182129,-2.4437904144747336e-08,50,,,,,
30,-0.010562291368842125,632.0109252929688,1.4442698955535889,-23.987409591674805,-2.2649764730431343e-08,50,0.0,0.0,1.0,-8.438072932511568,60.0
31,0.0008606690098531544,650.1148681640625,1.4449468851089478,-46.34242630004883,1.0728836485895954e-08,50,,,,,
32,-0.0028905535582453012,486.221435546875,1.4456658363342285,-27.399202346801758,1.4305114426349519e-08,50,,,,,
33,-0.007240157574415207,1693.7791748046875,1.4468368291854858,-62.47333908081055,1.054845384373948e-07,38,,,,,
34,-0.004273507744073868,1477.6148681640625,1.448773980140686,3.1286284923553467,9.864568539796892e-08,50,,,,,
35,-0.0016646719304844737,723.7371215820312,1.4500099420547485,-24.39946937561035,1.6987323547823507e-08,50,,,,,
36,-0.0029959469102323055,1247.03369140625,1.4508284330368042,-59.807193756103516,3.067886211738369e-08,34,,,,,
37,-0.005532856099307537,989.0631103515625,1.4514744281768799,-1.636702299118042,8.702278364580707e-08,50,,,,,
38,-0.0030006731394678354,425.468994140625,1.4516862630844116,-30.022249221801758,8.344650304081824e-09,50,,,,,
