iteration,actor_loss,critic_loss,entropy,mean_return,mean_advantage,buffer_steps,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_return,eval_avg_episode_length
46,-0.011162879876792431,3173.993408203125,1.458743929862976,-59.055030822753906,-8.702278364580707e-08,50,,,,,
47,-0.0011825466062873602,1414.6544189453125,1.460093379020691,-37.21246337890625,-1.2636184010261786e-07,50,,,,,
48,-0.0010868024546653032,464.5927429199219,1.461595892906189,-13.980727195739746,-1.3709068547029801e-08,50,,,,,
49,-0.01546007115393877,2492.287841796875,1.4629530906677246,-50.580528259277344,-3.33786012163273e-08,50,,,,,
50,-0.000819997803773731,3884.0908203125,1.4640400409698486,-17.637619018554688,-1.5199184133507515e-08,50,0.0,0.0,1.0,-35.06265355497599,60.0
51,-0.0048934961669147015,3257.256591796875,1.4650390148162842,-62.50352096557617,-8.106231774718253e-08,50,,,,,
52,-0.007013597525656223,3017.18310546875,1.4661269187927246,-55.18291473388672,2.3841858265427618e-08,50,,,,,
53,-0.005276188720017672,2957.289794921875,1.4673247337341309,-58.469451904296875,-1.5497207073167374e-08,50,,,,,
54,-0.005582184996455908,2898.751220703125,1.4682869911193848,-53.96365737915039,1.3113022134803032e-07,50,,,,,
55,-0.002694840542972088,1346.934814453125,1.468814730644226,-41.056636810302734,-8.225440950582197e-08,50,,,,,
56,-0.011195392347872257,2717.3251953125,1.4696621894836426,-58.10536575317383,-9.894370833762878e-08,50,,,,,
57,0.0005755853489972651,1519.0657958984375,1.4702900648117065,-36.92182540893555,-1.5497207073167374e-08,50,,,,,
58,-0.0007264280575327575,1440.09716796875,1.4704514741897583,-32.70988845825195,-6.19888282926695e-08,50,,,,,
59,-0.005140515509992838,1361.482666015625,1.4703221321105957,-41.941429138183594,1.370906801412275e-07,50,,,,,
60,-0.0005883243284188211,2860.497314453125,1.4706859588623047,-59.92947006225586,3.311369312086754e-08,36,0.0,0.0,1.0,82.86453188359738,60.0
61,-0.006513691041618586,1026.789794921875,1.4716169834136963,-28.38589096069336,3.218650945768786e-08,50,,,,,
62,-0.010032901540398598,2672.84521484375,1.4722367525100708,-47.9948844909668,2.7418137094059603e-08,50,,,,,
63,-0.009987535886466503,773.08251953125,1.472808837890625,-29.596446990966797,-1.668930060816365e-08,50,,,,,
64,-0.008563823997974396,1546.6468505859375,1.4737778902053833,-43.701385498046875,2.3841858265427618e-08,50,,,,,
65,-0.011310591362416744,2231.06005859375,1.475195050239563,-56.11603546142578,-5.9604645663569045e-09,50,,,,,
66,-0.010069327428936958,2711.9326171875,1.4765441417694092,-60.33147430419922,-7.748603536583687e-08,50,,,,,
67,-0.008488249033689499,1982.802490234375,1.477860689163208,-54.40309143066406,1.2040138130942069e-07,50,,,,,
68,-0.007941048592329025,3590.465087890625,1.4793084859848022,-70.31100463867188,1.1920929132713809e-08,50,,,,,
69,-0.00653541786596179,4444.5888671875,1.4807461500167847,-77.12947845458984,-1.8596648487800849e-07,50,,,,,
70,-0.005034780595451593,1049.145263671875,1.4821345806121826,-41.847530364990234,1.4305115314527939e-07,50,0.0,0.0,1.0,-61.49294853806496,60.0
71,-0.0004952430608682334,2971.094482421875,1.4831236600875854,-64.724365234375,1.3113022134803032e-07,50,,,,,
72,-0.0028918511234223843,3134.62060546875,1.4840648174285889,-67.56739044189453,7.390976008991856e-08,50,,,,,
73,-0.012404551729559898,2114.51708984375,1.4844502210617065,-54.849300384521484,7.1525572131747595e-09,50,,,,,
74,-0.002034463919699192,1803.5301513671875,1.484532117843628,-36.26716613769531,9.179115068036481e-08,50,,,,,
75,-0.00860484316945076,1480.7293701171875,1.4850066900253296,-48.5974006652832,1.01327898960335e-07,50,,,,,
76,-0.0009148240205831826,3137.616455078125,1.4856246709823608,-68.43077087402344,-1.8715859084750264e-07,50,,,,,
77,-0.006158831529319286,586.3012084960938,1.4861953258514404,-20.16040802001953,8.046627364421965e-09,50,,,,,
78,-0.010702144354581833,2598.845458984375,1.4868590831756592,-64.82097625732422,-4.5299529460862686e-08,50,,,,,
79,0.000828490243293345,677.7818603515625,1.487494707107544,-27.207380294799805,-1.4305114426349519e-08,50,,,,,
80,-0.004961026832461357,1985.525390625,1.488287329673767,-59.60586166381836,5.298190686175985e-08,36,0.0,0.25,0.75,-1.1790140841156245,53.35
81,-0.0027890491764992476,2096.373046875,1.4894535541534424,-46.968379974365234,8.046627186786282e-08,50,,,,,
82,-0.0008503150893375278,679.50341796875,1.4903515577316284,-28.000303268432617,2.3841858265427618e-08,50,,,,,
83,-0.007720847614109516,1215.3782958984375,1.4906299114227295,-44.72274398803711,-3.5762786065873797e-09,50,,,,,
84,-0.00437539117410779,2175.115966796875,1.491469144821167,-58.147220611572266,-1.01327898960335e-07,50,,,,,
85,-0.006043930072337389,2542.446044921875,1.4926693439483643,-65.5889663696289,2.1696091323519795e-07,50,,,,,
86,-0.001092908438295126,2912.0458984375,1.4937770366668701,-68.06320190429688,-5.0067900048134106e-08,50,,,,,
87,-0.004649095702916384,20409.189453125,1.4950448274612427,34.18203353881836,1.907348590179936e-08,50,,,,,
88,-0.0013497733743861318,689.5719604492188,1.4961313009262085,-26.16815757751465,-1.19209286886246e-09,50,,,,,
89,-0.010533759370446205,819.3709106445312,1.496986985206604,-40.77410888671875,7.1525572131747595e-09,50,,,,,
90,-0.0012743532424792647,2070.5458984375,1.4982186555862427,-62.17853927612305,-8.106231774718253e-08,50,0.0,0.0,1.0,-101.37751017808914,60.0
91,-0.005153536796569824,1799.04931640625,1.49977707862854,-53.42180252075195,-2.6226043559063328e-08,50,,,,,
92,-0.004152660258114338,726.1972045898438,1.5005911588668823,-31.14208221435547,-7.1525572131747595e-09,50,,,,,
93,-0.0077426075004041195,2546.084716796875,1.5009891986846924,-66.4761734008789,-9.298324243900424e-08,50,,,,,
94,-0.008858289569616318,1383.0296630859375,1.501602053642273,-51.2115592956543,-5.4836274188119205e-08,50,,,,,
95,-8.812666055746377e-05,1293.8499755859375,1.5018336772918701,-50.335472106933594,-9.417534130307104e-08,50,,,,,
96,-0.0004922223160974681,2820.086181640625,1.5023398399353027,-69.22160339355469,-6.318092005130893e-08,50,,,,,
97,-0.008553214371204376,1844.4027099609375,1.503090500831604,-57.267189025878906,2.1457672971791908e-08,50,,,,,
98,-0.0015986919170245528,23753.693359375,1.5034911632537842,28.272138595581055,-2.6673077968553116e-08,50,,,,,
99,-0.007921047508716583,17232.58203125,1.503597378730774,32.6171989440918,3.814697180359872e-08,50,,,,,
100,0.0010035085724666715,8841.9736328125,1.5036633014678955,9.907596588134766,-6.645917949299474e-08,50,0.0,0.0,1.0,21.348205178789794,60.0
101,-0.010854464024305344,1151.16943359375,1.5042256116867065,-40.160667419433594,5.364417887676609e-08,50,,,,,
102,-0.007188749499619007,10406.3828125,1.5049461126327515,11.418196678161621,-2.2351741790771484e-08,50,,,,,
103,-0.006258233916014433,531.9012451171875,1.5053305625915527,-33.360469818115234,1.4305114426349519e-08,50,,,,,
104,0.0013464736985042691,4209.60546875,1.5053646564483643,-32.30717849731445,8.046627364421965e-09,50,,,,,
105,-0.005199804436415434,2219.700439453125,1.5053199529647827,-47.99370193481445,-7.688998948651715e-08,50,,,,,
106,-0.0025442265905439854,451.8856506347656,1.505664348602295,-28.3148250579834,-3.516673885428645e-08,50,,,,,
107,-9.451389632886276e-05,9124.8603515625,1.5064454078674316,-7.301051139831543,-6.631016624680797e-09,50,,,,,
108,-0.0017725181533023715,20631.724609375,1.5071409940719604,32.556636810302734,2.6226043559063328e-08,50,,,,,
109,-0.0008233452099375427,1663.4141845703125,1.5071399211883545,-11.322332382202148,2.309679913992113e-08,50,,,,,
110,-0.0020153785590082407,2894.22998046875,1.5069763660430908,-63.908172607421875,3.409385556096822e-07,50,0.0,0.95,0.05,-24.134741371870042,35.8
111,-0.0011694813147187233,974.4644775390625,1.507272481918335,-19.87126350402832,-1.1026859425555813e-08,50,,,,,
112,-0.0009824610315263271,1205.5726318359375,1.5076942443847656,-36.116668701171875,1.19209286886246e-09,50,,,,,
113,-0.004309377633035183,17772.55078125,1.5079636573791504,22.78839874267578,1.385808001685973e-08,50,,,,,
