iteration,actor_loss,critic_loss,entropy,mean_return,mean_advantage,buffer_steps,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_return,eval_avg_episode_length
1,-0.016686372458934784,402.4801940917969,1.4177354574203491,2.451665163040161,2.9504299448035454e-08,50,,,,,
2,-0.018354620784521103,92.74064636230469,1.4165725708007812,-7.387190341949463,-7.748603536583687e-08,50,,,,,
3,-0.01574389450252056,73.43890380859375,1.4159640073776245,-6.358957290649414,1.4305115314527939e-07,50,,,,,
4,-0.012806582264602184,29.341569900512695,1.4157391786575317,-4.511989116668701,-2.0265579436795633e-08,50,,,,,
5,-0.0014682161854580045,26.309764862060547,1.4154517650604248,-3.4602444171905518,1.668930060816365e-08,50,,,,,
6,-0.013061060570180416,348.69561767578125,1.4153529405593872,6.22541618347168,3.8444994743258576e-08,50,,,,,
7,-0.006727137602865696,291.615478515625,1.4154351949691772,3.9269039630889893,-5.7667492114887864e-08,50,,,,,
8,-0.002637431723996997,50.68952941894531,1.4159533977508545,-6.086923599243164,5.7220457705398076e-08,50,,,,,
9,-0.0029316956643015146,1994.58154296875,1.416188359260559,-45.78279113769531,8.940696716308594e-07,13,,,,,
10,-0.0033505104947835207,42.86296844482422,1.4155819416046143,-7.544817924499512,-3.5762786065873797e-09,50,0.0,0.0,1.0,19.609549760073424,60.0
11,-0.008740153163671494,37.696170806884766,1.415331244468689,-5.785149097442627,7.5101851848558e-08,50,,,,,
12,-0.0016476440941914916,36.765079498291016,1.4148095846176147,-8.08456802368164,-9.655952482034991e-08,50,,,,,
13,-0.0017485441640019417,24.65204429626465,1.4136260747909546,-8.039334297180176,1.668930060816365e-08,50,,,,,
14,-0.01837327890098095,36.762290954589844,1.4125163555145264,-4.427133083343506,1.4901161193847656e-08,50,,,,,
15,-0.017190752550959587,336.33221435546875,1.4114670753479004,-1.6021299362182617,-1.0058283983482852e-08,50,,,,,
16,-0.017100859433412552,24.796226501464844,1.4106535911560059,-4.604656219482422,-1.5199184133507515e-08,50,,,,,
17,-0.0013136756606400013,19.36015510559082,1.4102307558059692,-6.202373027801514,3.8743017682918435e-09,50,,,,,
18,-0.0015772103797644377,19.99419403076172,1.4097295999526978,-5.462711811065674,-9.53674295089968e-09,50,,,,,
19,-0.009770888835191727,17.819564819335938,1.4088913202285767,-6.618737697601318,2.5182963270253822e-08,50,,,,,
20,-0.01666235737502575,15.13952922821045,1.4082144498825073,-6.284498691558838,2.324581060975106e-08,50,0.0,0.7,0.3,-37.57699508802034,39.75
21,-0.016837572678923607,335.48663330078125,1.4077179431915283,3.521935224533081,-3.7550925924279e-08,50,,,,,
22,0.0011965370504185557,24.454090118408203,1.4077744483947754,-7.216622352600098,-2.9504299448035454e-08,50,,,,,
23,-0.005819446872919798,27.33519744873047,1.4083234071731567,-6.048578262329102,4.947185416881439e-08,50,,,,,
24,-0.011622491292655468,740.3800659179688,1.4085801839828491,7.7889084815979,4.17232506322307e-08,50,,,,,
25,-0.0025876360014081,31.01726531982422,1.408593773841858,-7.296824932098389,1.892447443196943e-08,50,,,,,
26,-0.0031977235339581966,23.98956871032715,1.4091719388961792,-5.947058200836182,-2.1085142520860245e-08,50,,,,,
27,-0.0035296392161399126,59.688655853271484,1.4100297689437866,-2.891221523284912,-7.212162245195941e-08,50,,,,,
28,-0.015649626031517982,46.3747673034668,1.4108290672302246,-1.6888978481292725,4.0531158873591266e-08,50,,,,,
29,0.000907578447367996,23.912513732910156,1.4116281270980835,-4.703274250030518,9.149312774070495e-08,50,,,,,
30,-0.011655237525701523,21.165842056274414,1.4117399454116821,-4.14619779586792,8.195638834251895e-09,50,0.0,1.0,0.0,-48.359306804463266,32.95
31,-0.018734363839030266,38.0645866394043,1.4114086627960205,-6.664483547210693,5.0067900048134106e-08,50,,,,,
32,-0.005297064781188965,24.77777099609375,1.4109934568405151,-5.539149761199951,1.4901161193847656e-08,50,,,,,
33,3.5238265354564646e-06,26.861888885498047,1.409956455230713,-2.6503310203552246,-7.00354574334483e-09,50,,,,,
34,-0.004830928053706884,36.8502197265625,1.408103346824646,-6.776638984680176,1.0132789718397817e-08,50,,,,,
35,-0.0007585847633890808,42.889217376708984,1.4058653116226196,-7.801644802093506,2.801418297337932e-08,50,,,,,
36,-0.007122698239982128,16.64942169189453,1.4045697450637817,-1.9671956300735474,-1.8104911347904817e-08,50,,,,,
37,0.0005985945463180542,26.616422653198242,1.4042117595672607,-6.5687713623046875,4.3213366218708416e-09,50,,,,,
38,-0.0020233725663274527,55.72648620605469,1.4041759967803955,-6.329423904418945,-1.141801462267722e-07,50,,,,,
39,-0.006411411799490452,26.888784408569336,1.4040863513946533,-1.9406644105911255,-1.7881394143159923e-08,50,,,,,
40,-0.017353583127260208,18.73993492126465,1.4037595987319946,-5.244838714599609,-1.2777745972414323e-08,50,0.0,0.0,1.0,-7.919608171470463,60.0
41,-0.007227536290884018,15.736006736755371,1.4033687114715576,-5.4655327796936035,-2.1904707381281696e-08,50,,,,,
42,-0.006204633507877588,21.157394409179688,1.4026914834976196,-4.433814525604248,2.1904707381281696e-08,50,,,,,
43,-0.011780351400375366,20.598731994628906,1.4018155336380005,-5.798468112945557,1.3634562812114837e-08,50,,,,,
44,-0.0104328952729702,24.648574829101562,1.4012482166290283,-7.069761276245117,2.9802322387695312e-08,50,,,,,
45,-0.005663752555847168,30.517412185668945,1.400526762008667,-1.8540396690368652,5.9604645663569045e-09,50,,,,,
46,-0.004344940185546875,26.780179977416992,1.3995918035507202,-5.24079704284668,9.313225746154785e-09,50,,,,,
47,-0.005085844546556473,23.158885955810547,1.3986563682556152,-4.298050403594971,-6.109476036186834e-09,50,,,,,
48,-0.002808217890560627,349.6651611328125,1.397853970527649,2.8061203956604004,2.9206276508375595e-08,50,,,,,
49,-0.006651944946497679,28.547391891479492,1.396532416343689,-6.989386558532715,8.940697071579962e-09,50,,,,,
50,-0.006097211968153715,29.611337661743164,1.3952281475067139,-3.8504559993743896,-7.227063036907566e-08,50,0.0,0.0,1.0,14.306935584917664,60.0
51,0.002403044607490301,34.91868591308594,1.3949191570281982,-7.372597694396973,-5.900859889607091e-08,50,,,,,
52,-0.009858918376266956,36.10193634033203,1.3948935270309448,-5.83244514465332,4.5597552400522545e-08,50,,,,,
53,-0.014542913064360619,833.9201049804688,1.3949545621871948,7.591311454772949,5.573034300709878e-08,50,,,,,
54,-0.005138115957379341,119.64739990234375,1.3952800035476685,-0.34049662947654724,2.115964825577521e-08,50,,,,,
55,0.0012206912506371737,29.294931411743164,1.3950880765914917,-6.1824049949646,1.668930060816365e-08,50,,,,,
56,-0.0025967995170503855,18.605976104736328,1.3939144611358643,-7.1512274742126465,1.1324882365215672e-08,50,,,,,
57,-0.0010996770579367876,21.5556697845459,1.3928210735321045,-2.128840208053589,6.258487417198921e-08,50,,,,,
58,-0.009668460115790367,46.979209899902344,1.3924063444137573,-8.056767463684082,6.496906479469544e-08,50,,,,,
59,-0.0033618693705648184,22.280986785888672,1.391919732093811,-8.138833045959473,-1.7166138377433526e-07,50,,,,,
60,-0.007392420899122953,39.1937370300293,1.3912750482559204,-0.9726548194885254,5.9604643443123e-10,50,0.0,0.0,1.0,-4.687368755415082,60.0
61,-0.004169881343841553,15.824344635009766,1.3907142877578735,-6.460261344909668,-2.6449560763808222e-08,50,,,,,
62,-0.0027109812945127487,22.314870834350586,1.390092372894287,-3.4698879718780518,-1.274049310495684e-08,50,,,,,
63,-0.005032873246818781,25.499866485595703,1.389562726020813,-5.471979141235352,1.2665987370041876e-08,50,,,,,
64,-0.009639859199523926,21.104267120361328,1.3886706829071045,-5.2881574630737305,-3.069639120667489e-08,50,,,,,
65,-0.008509058505296707,25.22014617919922,1.3883055448532104,-6.9930901527404785,-2.9206276508375595e-08,50,,,,,
66,-0.0029027843847870827,23.989826202392578,1.3886910676956177,-2.54996657371521,-6.854534273514901e-09,50,,,,,
67,-0.0015717506175860763,351.4949951171875,1.3891600370407104,1.6971616744995117,7.1525572131747595e-09,50,,,,,
68,-0.005872383248060942,32.000675201416016,1.3889198303222656,-2.1448416709899902,-1.9147991636714323e-08,50,,,,,
69,-0.0008659696322865784,30.585464477539062,1.3877426385879517,-6.150885581970215,4.872679681966474e-08,50,,,,,
70,-0.0018354445928707719,18.552047729492188,1.3862017393112183,-6.293945789337158,1.4305114426349519e-08,50,0.0,0.55,0.45,-5.327414364367724,45.7
71,-0.004671673756092787,17.91459083557129,1.3846772909164429,-3.012204170227051,-1.1660159060511432e-08,50,,,,,
72,-0.0003613966691773385,22.54000473022461,1.3838900327682495,-7.624113082885742,-3.516673885428645e-08,50,,,,,
73,-0.007752835750579834,1489.0572509765625,1.3831895589828491,-43.74890899658203,7.152557657263969e-08,40,,,,,
74,0.0003003501915372908,32.3498649597168,1.3825160264968872,-5.133699893951416,5.602836594675864e-08,50,,,,,
75,-0.0024519730359315872,23.97652816772461,1.381761074066162,-6.234658241271973,-9.462237215984715e-08,50,,,,,
76,-0.005684556905180216,36.326515197753906,1.38116455078125,-3.4478724002838135,2.6058405211415447e-08,50,,,,,
77,-0.0010916567407548428,29.490253448486328,1.3805056810379028,-5.564313888549805,-4.53088446761285e-08,50,,,,,
78,0.00022442340559791774,26.891517639160156,1.3794480562210083,-2.270798444747925,5.573034300709878e-08,50,,,,,
79,-0.012325375340878963,27.771347045898438,1.3788046836853027,-6.994703769683838,-4.76837147544984e-09,50,,,,,
80,0.001415603212080896,27.4100284576416,1.3791000843048096,-5.19206428527832,-5.424022830879949e-08,50,0.0,0.0,1.0,-7.124573614820838,60.0
81,-0.0012654089368879795,24.221784591674805,1.3790723085403442,-4.698448657989502,2.38418573772492e-09,50,,,,,
82,-0.00811810977756977,33.795654296875,1.3781635761260986,-6.980581760406494,2.6822089438383045e-08,50,,,,,
83,-0.01317631732672453,19.359928131103516,1.3778518438339233,-6.230235576629639,-4.023313593393141e-08,50,,,,,
84,-0.0014415406621992588,17.216516494750977,1.3777254819869995,-7.126927375793457,-1.7881393032936899e-09,50,,,,,
